,id,UID,scenarioIDX,STime,ETime,text,gif,Q1,Q3,Q4,Q5,Q6
100,110,60fcad4f2eb7b86a07b5e4c7,7,2022-08-21 14:26:04,2022-08-21 14:26:34.419,hit leg day so hard that my legs are too noodle to stretch,https://media0.giphy.com/media/9x30lvmJyFKZhNCFe5/giphy-downsized.gif?cid=0e802152xeuozim7a01qvae9mtrnbkbjcuyjhqwdk1qjlres&rid=giphy-downsized.gif&ct=g,0.0,0.0,1.0,1.0,1.0
105,123,60fcad4f2eb7b86a07b5e4c7,6,2022-08-21 14:35:02,2022-08-21 14:35:13.153,The Weeknd just dropped some major fire. Bro always comes in clutch,https://media0.giphy.com/media/3o72FfM5HJydzafgUE/giphy.gif?cid=0e802152o6p69d17kafutjqmz4ae31doujviye50elbbrcud&rid=giphy.gif&ct=g,1.0,1.0,1.0,1.0,1.0
107,117,60fcad4f2eb7b86a07b5e4c7,3,2022-08-21 14:30:45,2022-08-21 14:30:55.856,been hitting the gym so much that i think i'm turning into a beast lmao,https://media2.giphy.com/media/F4aMm97MvhVTYXWBhT/giphy-downsized.gif?cid=0e802152s6yajtawt8qoi4mw170xu7ya3go3sb9uzgz29fbr&rid=giphy-downsized.gif&ct=g,1.0,1.0,1.0,1.0,1.0
109,114,60fcad4f2eb7b86a07b5e4c7,8,2022-08-21 14:27:28,2022-08-21 14:27:45.485,the function too lit. pull up,https://media4.giphy.com/media/3o6ZtlcYrw4C35rNHW/giphy.gif?cid=0e802152xh93ndnuqd71q723fv974zp84pqhnrokqv14mgvv&rid=giphy.gif&ct=g,0.0,1.0,1.0,1.0,1.0
111,113,62d9782b0a0018523c64bb1c,3,2022-08-21 14:27:31,2022-08-21 14:27:49.856,Hard work paying off,https://media4.giphy.com/media/weZS0tJ0hurvO/giphy.gif?cid=0e8021523yx77jwm2u1bu9e7cdcd7rl9r3owf7s54vw9lavt&rid=giphy.gif&ct=g,0.0,0.0,0.0,1.0,1.0
112,109,62d9782b0a0018523c64bb1c,2,2022-08-21 14:23:15,2022-08-21 14:24:06.753,AMC is going to skyrocket,https://media0.giphy.com/media/3ohnEqJ1XOfvWaSk7e/giphy.gif?cid=0e80215203foq5w3phxen4y5nlvbhiwiyovqtx3zyhgzgwmf&rid=giphy.gif&ct=g,0.0,0.0,0.0,1.0,1.0
113,118,62d9782b0a0018523c64bb1c,5,2022-08-21 14:30:41,2022-08-21 14:30:56.729,Team work make yhe dreamwork,https://media4.giphy.com/media/B0FOFdEyNYgFOaPhHm/giphy.gif?cid=0e8021521zbi6bdtsikllae86q5eswobreeavneksmzihubr&rid=giphy.gif&ct=g,0.0,0.0,0.0,1.0,1.0
115,111,62d9782b0a0018523c64bb1c,7,2022-08-21 14:25:56,2022-08-21 14:26:23.189,Tired from a good workout home ,https://media1.giphy.com/media/26BGqofNXjxluwX0k/giphy-downsized.gif?cid=0e802152dqoqhscmihezijae5hz6yqk6a56ixj7i87md3y9w&rid=giphy-downsized.gif&ct=g,0.0,0.0,0.0,1.0,1.0
116,121,60fcad4f2eb7b86a07b5e4c7,1,2022-08-21 14:32:37,2022-08-21 14:33:49.009,working a 9-5 really messes with ur mental. bills still gotta get paid though,https://media4.giphy.com/media/3o7TKEP6YngkCKFofC/giphy-downsized.gif?cid=0e802152wvfncww59ga6i8pbogkcxnpri7n78uwqfioxkm5v&rid=giphy-downsized.gif&ct=g,0.0,1.0,1.0,1.0,1.0
117,115,60fcad4f2eb7b86a07b5e4c7,2,2022-08-21 14:28:53,2022-08-21 14:29:22.862,think im gonna start taking real estate more seriously. let's see how it goes lol,https://media3.giphy.com/media/5wWf7GMbT1ZUGTDdTqM/giphy-downsized.gif?cid=0e802152jc3ybz4ecmscbflnvflqlr3pxw3swjhd2qrp03vs&rid=giphy-downsized.gif&ct=g,0.0,0.0,1.0,2.0,1.0
